"Commune";"insee";"An";"N";"SAU";"SAU_irri";"Culture";"lib"
"Salazie";97421;2000;18;73;NA;"Canne à sucre";NA
"Salazie";97421;2010;13;63;NA;"Canne à sucre";NA
"Salazie";97421;2000;100;93;NA;"STH & fourrages";NA
"Salazie";97421;2010;57;49;NA;"STH & fourrages";NA
"Salazie";97421;2000;9;4;NA;"Horticulture";NA
"Salazie";97421;2010;19;5;NA;"Horticulture";NA
"Le Tampon";97422;2000;31;14;NA;"Céréales";NA
"Le Tampon";97422;2010;17;9;NA;"Céréales";NA
"Le Tampon";97422;2000;28;8;NA;"PAPAM";NA
"Le Tampon";97422;2010;122;38;NA;"PAPAM";NA
"Le Tampon";97422;2000;241;1305;NA;"Canne à sucre";NA
"Le Tampon";97422;2010;187;1471;NA;"Canne à sucre";NA
"Le Tampon";97422;2000;417;5241;NA;"STH & fourrages";NA
"Le Tampon";97422;2010;375;5041;NA;"STH & fourrages";NA
"Le Tampon";97422;2000;77;17;NA;"Grain";NA
"Le Tampon";97422;2010;4;1;NA;"Grain";NA
"Le Tampon";97422;2000;92;29;NA;"Horticulture";NA
"Le Tampon";97422;2010;61;28;NA;"Horticulture";NA
"Les Trois-Bassins";97423;2000;11;6;NA;"Céréales";NA
"Les Trois-Bassins";97423;2010;13;8;NA;"PAPAM";NA
"Les Trois-Bassins";97423;2000;78;251;NA;"Canne à sucre";NA
"Les Trois-Bassins";97423;2010;46;210;NA;"Canne à sucre";NA
"Les Trois-Bassins";97423;2000;63;682;NA;"STH & fourrages";NA
"Les Trois-Bassins";97423;2010;62;880;NA;"STH & fourrages";NA
"Cilaos";97424;2000;73;26;NA;"Céréales";NA
"Cilaos";97424;2010;11;2;NA;"PAPAM";NA
"Cilaos";97424;2000;26;17;NA;"STH & fourrages";NA
"Cilaos";97424;2010;15;15;NA;"STH & fourrages";NA
"Cilaos";97424;2000;85;49;NA;"Grain";NA
"Cilaos";97424;2010;40;16;NA;"Grain";NA
